ourid,release_date,grossboxoffice,classgrossboxoffice,specialeffects,starvalue_director,starvalue_producer,startvalue_stars,origscreenoplayes,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,war,western,othergenre,competition,mpaa_rating,maxscreens,user_rating,opening___screens,estmated_budget,opening_weekend,number_of_weeks,movie_length,
10081,40452,96917897,8,2,4,2,3,No,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L,PG-13,2921,8.1,2771,40000000,22445653,21,120,
10093,40325,95328937,8,2,3,2,3,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,R,3445,3.9,3445,100000000,36835353,12,146,
10117,40207,81124129,8,2,3,2,2,No,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,L,R,3066,6.7,3066,60000000,17214384,8,117,
10160,40102,107917283,8,5,4,4,3,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,L,R,2712,6.6,12,15000,77873,14,86,
10182,39995,97030725,8,3,3,3,4,No,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,M,R,3336,7.1,3334,100000000,25271675,8,140,
10192,40018,88915214,8,2,3,2,3,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,R,773,6.4,2882,38000000,27605576,10,96,
10334,40214,80014842,8,2,3,3,3,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,L,PG-13,3062,5.9,2969,25000000,30468614,10,108,
10345,40522,104383624,8,5,3,2,2,No,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,M,PG,3555,6.5,3555,155000000,24005069,17,113,
10371,39807,109993847,8,4,4,3,4,No,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,M,PG,3684,6.1,3681,80000000,27450296,11,99,
10376,40312,105219735,8,4,4,2,4,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,PG-13,3505,6.8,3503,200000000,36063385,12,140,
10385,40529,106882290,8,4,3,3,4,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,M,R,2407,8.4,18,13000000,1443809,19,108,
10386,40382,118311368,8,4,3,2,4,Yes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,M,PG-13,3612,6.5,3612,110000000,36011243,14,100,
10462,40074,124870275,8,4,3,3,3,No,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,L,PG,3119,7.1,3119,100000000,30304648,13,90,
10494,39164,95000445,8,2,3,4,3,No,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,L,R,2806,7.1,0,61000000,0,9,124,
10500,40221,110476776,8,2,4,2,3,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,3665,5.7,0,52000000,0,10,125,
10514,39577,93945766,8,5,4,3,3,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,M,PG,3606,6.2,3606,120000000,18561337,13,135,
10524,39948,133375846,8,4,3,3,4,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,M,PG-13,3527,6.7,3527,150000000,46204168,10,138,
10611,39441,104636188,8,4,3,2,3,No,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,M,PG,2777,6.6,2772,45000000,2385644,8,112,
10713,40494,81557479,8,4,4,2,4,Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,H,PG-13,3209,6.9,3207,100000000,22688457,16,98,
10729,40326,90755643,8,5,3,2,3,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,M,PG-13,3646,6.7,0,200000000,37813075,17,116,
10733,39437,109155885,8,3,3,3,4,No,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,M,R,2594,7.3,2575,75000000,15952430,11,102,
10750,38874,119498909,8,4,2,2,3,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,H,R,2723,5.4,2723,25000000,16026496,12,110,
10771,39472,113244290,8,4,3,3,4,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,L,R,2764,7.3,2751,50000000,18203876,9,92,
10797,38884,80197993,8,4,3,3,3,Yes,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,H,PG,3083,5.7,3070,32000000,28309599,12,0,
10825,38800,88504640,8,4,3,2,4,Yes,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,R,2867,7.7,2818,45000000,28954945,15,129,
10886,39514,94770548,8,5,4,2,2,Yes,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L,PG-13,3454,4.9,3410,105000000,35867488,15,109,
10899,39402,82161969,8,4,4,2,3,No,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,H,PG-13,3249,6.5,3153,150000000,27515871,11,115,
10919,40018,119420252,8,4,2,2,3,No,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,M,PG,3697,5,3697,150000000,31706934,15,88,
10950,39759,91826289,8,2,2,2,3,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,H,R,2798,7.1,2792,28000000,19167085,12,99,
10958,38912,101595121,8,4,3,3,3,Yes,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,PG-13,2533,3.6,2533,64000000,21613176,7,98,
11065,39640,75754670,8,5,4,3,3,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,M,PG-13,3212,7.3,3204,72000000,34539115,9,120,
11084,38996,132373442,8,3,4,3,4,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,L,R,3017,8.5,3017,90000000,26887467,24,151,
11142,38711,88933562,8,3,3,2,3,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,PG-13,2815,5.5,2815,0,7515000,11,97,
11159,39171,97821064,8,4,2,2,2,No,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,L,G,3413,6.9,3413,0,25123781,20,95,
11163,39087,132180323,8,3,2,2,3,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,R,280,7.5,0,60800000,55527,9,147,
11165,38415,113006880,8,4,4,4,4,Yes,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,L,PG,3181,5.2,3131,56000000,30552694,18,95,
11208,38435,101393569,8,3,2,4,4,Yes,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,PG-13,3233,4.7,3233,45000000,14043215,14,115,
11228,38758,126121167,8,4,4,3,3,No,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,L,PG,3477,5.2,3477,80000000,20220412,10,93,
11236,38380,122650962,8,3,2,2,3,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,L,R,3005,5.6,3005,30000000,21959233,14,101,
11260,38569,110594793,8,3,3,4,3,No,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,PG-13,3785,4.8,3785,50000000,30675314,13,104,
11276,38366,90754475,8,4,2,2,3,No,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,L,PG,3185,5.2,3185,0,18862432,17,102,
11286,38527,131426169,8,4,4,3,4,No,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,H,PG-13,3188,4.8,3174,85000000,20131130,9,102,
11296,39640,101702060,8,4,2,3,3,No,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,M,PG,2830,5.8,2811,45000000,21018141,20,93,
11322,38210,95149435,8,3,3,3,3,No,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,L,G,3490,5.2,3472,40000000,22956453,19,113,
11361,38156,114324072,8,3,2,2,4,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,H,PG-13,3020,6.6,2694,20000000,30070196,20,92,
11367,38065,102356381,8,4,3,3,3,No,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,L,R,2748,7.4,2745,28000000,26722575,13,101,
11416,38254,117575636,8,3,2,3,3,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,L,PG-13,3144,5.7,3104,42000000,21022111,9,91,
11422,38590,105316267,8,4,3,2,3,Yes,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,L,PG-13,3098,5.9,3087,88000000,15092079,8,118,
